timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-01-01T00:00,15.84,11.62,15.89,10.08,66.21,160.51,661.03,3306.27,659.48,5.36,29.03,25.87,29.13,25.87,80.73,298.7,809.51,3990.64,799.25,12.5,,200.0
2016-01-01T01:00,15.22,10.79,14.33,9.26,65.16,150.52,652.22,3248.14,649.51,5.75,32.76,28.7,30.64,27.8,82.85,318.84,826.91,4130.32,820.6,14.0,,
2016-01-01T02:00,15.09,11.94,12.52,9.89,64.85,149.05,649.29,3263.53,649.24,5.89,33.65,31.03,31.94,27.97,84.1,332.24,832.37,4191.28,842.06,15.5,,
2016-01-01T03:00,14.73,12.44,11.48,8.38,65.1,152.72,651.03,3259.39,649.01,6.19,36.79,33.17,33.11,28.82,86.4,363.7,861.36,4278.84,861.11,16.5,,
2016-01-01T04:00,15.2,12.27,11.7,9.11,65.05,150.54,648.02,3264.33,650.02,5.73,38.27,35.31,35.83,32.01,88.53,375.45,881.58,4403.91,888.89,17.5,,
2016-01-01T05:00,15.11,14.18,13.51,12.27,64.88,148.46,652.68,3254.61,647.29,6.75,40.19,39.36,39.58,38.68,90.15,403.12,891.39,4495.48,903.87,19.5,,
2016-01-01T06:00,15.83,15.86,16.53,16.71,65.76,157.63,662.34,3294.53,661.16,7.87,42.58,41.27,43.51,42.84,91.35,424.89,912.71,4595.34,920.45,21.0,,
2016-01-01T07:00,17.07,19.5,22.23,25.37,67.21,169.37,671.86,3363.65,669.62,9.95,44.11,46.18,49.88,51.63,94.63,430.83,933.34,4686.57,948.69,23.5,,
2016-01-01T08:00,17.93,22.51,23.47,27.64,68.26,177.26,680.72,3412.04,678.04,11.09,46.26,49.42,51.99,55.85,96.88,451.38,959.82,4816.9,960.5,25.0,,
2016-01-01T09:00,17.96,24.93,26.52,32.9,67.8,181.65,679.21,3413.51,680.75,12.71,43.86,51.03,51.55,58.52,94.22,439.53,947.18,4746.37,938.65,25.5,,
2016-01-01T10:00,19.16,27.0,26.52,34.3,68.98,190.34,689.82,3446.56,687.15,13.38,41.24,49.36,48.89,57.09,92.89,415.64,921.52,4569.17,924.94,25.0,,
2016-01-01T11:00,18.9,24.61,25.68,31.65,68.77,189.33,689.1,3456.72,689.96,12.6,39.61,45.9,47.4,52.05,90.29,405.6,898.2,4496.08,899.72,23.0,,
2016-01-01T12:00,21.01,25.56,26.7,32.94,71.27,212.0,710.02,3539.69,710.11,12.77,34.88,39.38,40.15,45.84,85.97,343.69,843.76,4274.67,856.37,20.0,,
2016-01-01T13:00,21.73,27.32,28.48,33.48,72.21,221.72,717.51,3592.67,721.82,14.14,29.03,35.74,35.86,42.1,80.71,301.62,801.41,4016.41,789.92,18.0,,
2016-01-01T14:00,22.08,28.92,26.75,33.65,72.19,222.48,717.64,3613.34,717.22,14.2,25.73,32.2,29.89,37.61,75.01,246.57,744.18,3771.89,752.54,16.0,,
2016-01-01T15:00,22.86,30.9,26.72,34.99,73.1,232.14,729.02,3651.82,728.12,15.17,20.32,28.28,24.9,32.97,69.6,198.98,690.76,3484.44,699.39,14.0,,
2016-01-01T16:00,24.13,31.5,26.57,35.15,74.2,242.05,739.94,3702.57,739.48,16.29,15.43,23.09,18.53,25.16,64.01,158.08,650.04,3251.36,643.67,11.5,,
2016-01-01T17:00,23.22,29.22,24.61,31.05,72.93,228.17,731.76,3638.33,732.72,14.34,9.19,16.6,11.12,17.56,60.94,90.57,604.42,3050.85,599.95,8.0,,
2016-01-01T18:00,21.96,29.41,23.67,30.46,72.05,221.15,719.25,3587.1,719.06,14.28,15.36,21.91,17.08,24.78,64.0,143.04,650.53,3224.1,653.16,11.0,,
2016-01-01T19:00,21.16,26.45,22.11,26.92,70.97,209.38,711.65,3554.14,712.16,13.27,20.31,24.68,20.25,24.86,70.53,196.29,702.0,3520.8,695.94,12.5,,
2016-01-01T20:00,18.99,21.6,19.82,23.14,68.79,191.04,687.33,3442.51,690.9,11.0,25.34,27.57,25.89,28.27,75.32,260.0,755.31,3766.88,749.98,14.0,,
2016-01-01T21:00,18.85,20.36,19.13,20.61,68.94,191.92,689.9,3459.84,687.78,10.5,29.14,32.92,30.83,32.32,79.14,302.25,791.9,4004.93,797.58,16.0,,
2016-01-01T22:00,18.28,19.56,18.2,19.95,67.73,178.3,678.11,3392.04,682.62,10.04,40.74,42.31,40.92,42.89,89.07,394.79,900.16,4481.35,900.19,21.0,,
2016-01-01T23:00,17.25,15.84,16.76,16.65,66.93,167.26,670.84,3339.94,671.4,8.05,45.74,44.15,43.92,43.38,94.0,448.84,944.72,4711.11,947.88,22.0,,
2016-01-02T00:00,15.95,11.48,15.79,10.3,65.92,161.68,662.09,3307.66,657.31,5.67,29.56,24.86,29.88,25.84,79.45,294.25,809.08,4047.16,796.77,12.5,,
2016-01-02T01:00,14.74,11.65,14.33,10.21,65.18,147.78,647.61,3239.86,652.33,5.68,31.73,27.45,31.56,26.41,81.19,320.76,828.38,4136.32,829.65,14.0,,
2016-01-02T02:00,14.99,11.8,12.77,10.48,65.17,148.34,650.25,3243.77,650.28,5.68,33.92,30.75,31.37,29.78,84.58,339.18,849.88,4193.36,838.36,15.5,,
2016-01-02T03:00,15.04,12.6,11.39,8.36,65.2,151.83,649.39,3249.86,651.87,5.8,35.31,33.89,32.43,27.91,85.14,364.55,864.01,4332.03,866.99,16.5,,
2016-01-02T04:00,15.28,12.28,11.93,8.67,64.85,150.31,650.61,3253.66,648.9,6.2,38.81,35.4,35.77,31.0,88.74,375.74,881.3,4350.7,886.68,17.5,,
2016-01-02T05:00,15.17,13.71,14.23,13.14,64.89,148.62,647.77,3247.81,652.82,6.85,39.57,38.49,39.77,38.54,90.29,403.12,891.18,4489.32,908.75,19.5,,
2016-01-02T06:00,15.91,16.31,17.17,17.78,66.21,161.29,658.08,3298.62,657.24,8.03,42.68,42.45,42.23,43.39,91.17,417.66,913.38,4559.43,913.73,21.0,,
2016-01-02T07:00,16.8,20.62,21.6,25.81,66.81,170.22,669.73,3362.54,669.73,10.29,44.14,46.07,49.21,52.11,93.31,431.4,931.32,4667.36,931.41,23.5,,
2016-01-02T08:00,18.01,21.46,23.98,28.03,67.86,178.9,682.84,3410.38,680.28,10.92,46.96,50.72,52.91,56.56,96.65,449.89,964.95,4760.49,961.06,25.0,,
2016-01-02T09:00,18.07,24.95,25.47,32.95,68.02,178.26,677.34,3395.07,678.6,12.28,44.19,51.78,52.3,59.57,95.03,446.74,939.44,4675.95,946.61,25.5,,
2016-01-02T10:00,18.97,26.55,27.3,34.35,69.12,189.67,692.14,3452.15,692.86,13.21,42.48,50.75,49.56,57.63,92.18,415.37,930.1,4604.58,920.21,25.0,,
2016-01-02T11:00,18.72,24.34,25.94,31.96,69.24,187.55,691.55,3454.14,692.04,12.6,39.38,45.63,46.45,51.91,89.33,394.54,898.74,4512.62,902.99,23.0,,
2016-01-02T12:00,20.83,25.99,26.47,32.2,71.26,208.58,708.47,3555.72,707.61,13.21,35.47,39.93,42.06,47.05,84.73,347.28,842.7,4249.37,858.37,20.0,,
2016-01-02T13:00,22.19,27.32,28.29,33.05,71.74,220.2,717.45,3603.2,718.66,14.11,28.97,35.91,36.63,40.86,80.29,300.68,794.73,4029.58,809.94,18.0,,
2016-01-02T14:00,21.97,29.05,27.02,33.2,72.22,217.51,722.0,3589.73,722.5,14.7,25.75,31.15,29.7,37.6,74.53,255.13,746.66,3777.92,750.71,16.0,,
2016-01-02T15:00,22.88,31.0,26.58,35.89,72.98,227.93,730.6,3644.03,730.35,15.79,19.33,27.57,25.0,32.15,71.0,199.59,708.81,3528.36,701.32,14.0,,
2016-01-02T16:00,24.04,32.67,27.12,35.57,74.13,242.72,739.35,3704.34,742.1,16.21,15.23,22.62,18.16,25.89,65.89,159.31,652.35,3251.51,639.95,11.5,,
2016-01-02T17:00,22.94,28.94,24.82,31.83,72.82,229.96,732.68,3646.28,732.24,14.55,10.35,16.15,11.7,16.86,59.16,96.8,610.29,3037.32,608.72,8.0,,
2016-01-02T18:00,22.15,29.23,24.1,31.08,71.74,221.6,717.75,3604.7,718.98,14.36,15.29,21.41,16.74,24.35,65.65,150.52,645.12,3247.14,642.23,11.0,,
2016-01-02T19:00,20.85,26.45,22.5,27.49,70.84,211.58,710.61,3557.59,712.56,13.0,19.97,25.81,20.17,26.46,69.38,207.25,694.3,3539.23,695.12,12.5,,
2016-01-02T20:00,18.8,22.44,19.46,22.39,69.12,192.62,688.16,3452.14,692.48,10.86,25.0,28.21,26.98,28.36,75.91,245.68,756.64,3770.77,758.62,14.0,,
2016-01-02T21:00,19.2,21.41,18.85,20.21,68.9,188.44,688.21,3439.48,691.44,10.52,30.81,32.89,30.38,32.49,80.68,308.76,800.2,4009.12,796.93,16.0,,
2016-01-02T22:00,18.25,20.43,18.4,20.83,67.82,178.18,679.55,3414.11,682.47,9.8,39.47,42.41,39.5,41.82,89.24,395.91,893.6,4522.44,906.7,21.0,,
2016-01-02T23:00,17.22,15.71,16.84,16.18,67.24,170.61,668.38,3350.26,669.33,7.85,44.61,44.19,44.38,44.78,94.51,455.71,960.03,4748.47,958.68,22.0,,
2016-01-03T00:00,16.01,10.49,16.0,10.63,66.05,162.52,661.14,3288.72,658.26,5.61,29.54,24.85,30.97,24.79,80.51,302.26,795.15,4038.75,797.55,12.5,,
2016-01-03T01:00,14.87,11.09,13.63,9.8,64.89,147.46,651.28,3258.9,651.31,5.39,32.18,27.8,31.77,26.95,82.77,325.87,826.51,4100.16,817.26,14.0,,
2016-01-03T02:00,15.03,12.64,12.8,9.12,65.19,151.31,647.74,3245.74,647.94,5.81,34.46,30.34,31.44,28.68,84.6,341.25,847.17,4205.5,849.16,15.5,,
2016-01-03T03:00,14.74,11.89,10.7,7.12,65.09,147.93,648.45,3241.44,652.2,5.93,36.24,33.04,32.56,30.12,86.33,351.8,849.96,4248.95,864.84,16.5,,
2016-01-03T04:00,15.15,12.26,11.63,8.59,64.96,149.7,647.46,3239.3,651.82,5.91,37.58,34.24,35.82,32.84,88.77,370.71,874.33,4447.17,882.32,17.5,,
2016-01-03T05:00,15.03,14.21,13.96,13.09,64.89,147.4,651.56,3241.26,652.01,7.0,40.17,38.27,39.56,38.91,90.05,398.01,891.93,4526.74,895.93,19.5,,
