timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-01-01T00:00,12.8,3.6,8.5,-2.3,62.8,117.3,620.7,3125.7,617.0,1.7,16.5,9.0,12.8,5.7,64.1,161.9,667.9,3130.0,646.8,12.5,,200
2016-01-01T01:00,11.8,3.6,7.0,-3.4,61.7,105.6,614.7,3077.9,613.0,1.5,17.5,12.9,14.6,8.5,65.2,152.4,670.9,3248.2,685.9,14.0,,
2016-01-01T02:00,11.3,2.4,6.0,-1.9,61.4,105.5,618.3,3063.6,616.7,1.6,20.9,13.9,13.3,13.2,68.3,185.6,693.4,3399.1,695.8,15.5,,
2016-01-01T03:00,11.1,4.0,3.1,-3.8,61.0,115.5,612.6,3051.2,607.0,1.0,22.3,18.7,15.4,14.5,68.7,231.2,702.8,3543.6,692.1,16.5,,
2016-01-01T04:00,11.8,2.9,6.0,-3.4,61.3,111.0,611.1,3065.3,607.9,2.3,25.4,18.6,20.4,12.8,73.1,224.9,713.5,3593.4,701.3,17.5,,
2016-01-01T05:00,11.3,5.9,7.9,-0.2,61.0,115.7,618.0,3078.8,617.6,1.8,22.2,22.2,20.6,19.4,75.6,266.6,746.0,3751.0,754.9,19.5,,
2016-01-01T06:00,12.0,8.6,9.9,3.5,62.0,124.6,617.2,3118.7,615.3,3.3,28.7,26.7,25.4,27.6,75.1,260.4,791.1,3886.0,741.7,21.0,,
2016-01-01T07:00,13.4,12.6,15.8,13.6,62.6,137.0,636.8,3190.6,633.9,4.9,28.3,29.6,29.3,33.5,79.8,288.6,785.2,4068.2,776.2,23.5,,
2016-01-01T08:00,14.8,11.5,16.4,17.7,64.1,145.9,645.1,3240.2,646.1,7.0,32.6,37.6,33.1,37.7,80.1,288.1,815.3,3971.2,831.1,25.0,,
2016-01-01T09:00,13.5,16.5,17.7,22.0,64.5,147.5,641.8,3242.1,646.5,8.1,27.4,34.8,34.6,43.8,80.8,301.7,813.0,4025.4,783.0,25.5,,
2016-01-01T10:00,15.0,18.7,21.0,22.8,65.2,149.9,647.7,3237.3,649.8,8.6,24.8,32.5,32.9,39.4,77.5,240.7,771.7,3871.9,754.2,25.0,,
2016-01-01T11:00,15.5,16.0,19.2,21.7,64.8,156.5,646.9,3249.5,657.6,7.9,27.3,29.4,31.2,33.3,72.7,234.6,720.5,3777.0,740.1,23.0,,
2016-01-01T12:00,16.6,18.4,19.8,21.0,67.7,175.4,672.4,3350.7,670.2,8.6,21.5,27.6,23.8,29.8,67.2,220.0,687.5,3397.7,672.7,20.0,,
2016-01-01T13:00,17.9,19.9,21.2,22.6,68.1,184.6,687.9,3383.8,681.1,10.1,15.4,21.6,16.5,22.1,66.6,149.4,631.7,3219.3,620.6,18.0,,
2016-01-01T14:00,18.0,21.1,18.6,21.4,68.3,181.2,676.6,3439.5,688.3,10.0,9.8,16.5,15.4,16.5,60.8,86.7,586.7,3007.7,602.2,16.0,,
2016-01-01T15:00,18.9,21.8,20.6,23.8,69.4,192.8,692.8,3435.8,688.1,11.5,5.9,11.6,5.7,14.8,53.0,56.6,563.8,2801.8,542.2,14.0,,
2016-01-01T16:00,20.5,23.2,18.8,24.5,69.7,196.0,700.5,3489.0,703.5,11.8,-1.5,9.0,-1.2,5.6,50.9,-27.6,477.3,2420.6,520.1,11.5,,
2016-01-01T17:00,19.7,20.1,16.9,20.6,69.1,186.2,687.2,3442.0,686.9,10.4,-5.0,1.6,-3.3,3.4,42.0,-45.4,428.8,2336.1,444.7,8.0,,
2016-01-01T18:00,18.7,21.2,17.1,19.5,68.8,182.1,677.5,3421.8,688.2,10.6,-2.7,4.8,-2.6,3.8,50.8,-13.6,498.4,2358.3,474.7,11.0,,
2016-01-01T19:00,17.2,18.3,14.9,17.5,67.0,173.0,669.6,3375.6,678.0,7.8,5.9,12.6,4.1,9.5,55.2,32.4,533.4,2740.3,547.9,12.5,,
2016-01-01T20:00,15.4,12.9,12.9,13.2,65.4,153.1,648.3,3271.7,655.8,6.7,12.1,11.8,8.4,14.3,57.9,71.0,594.7,3093.2,581.3,14.0,,
2016-01-01T21:00,14.6,12.5,12.8,10.8,65.4,152.6,649.6,3247.7,650.0,5.9,15.8,16.8,14.4,13.2,63.0,146.5,640.4,3350.9,630.1,16.0,,
2016-01-01T22:00,14.5,11.7,9.9,10.3,63.7,143.2,642.5,3175.8,645.6,5.3,26.2,27.6,25.9,24.2,72.0,262.4,734.3,3723.7,735.3,21.0,,
2016-01-01T23:00,12.5,6.7,10.6,3.8,63.2,130.5,625.6,3179.3,630.9,3.8,30.6,27.4,28.3,25.4,81.6,315.6,800.7,4034.7,807.6,22.0,,
2016-01-02T00:00,11.8,3.5,9.7,-0.8,62.2,115.3,615.2,3136.7,628.4,1.0,12.8,11.4,13.3,10.5,65.0,161.4,660.1,3254.6,648.9,12.5,,
2016-01-02T01:00,11.5,1.8,6.5,-0.4,60.9,107.6,611.7,3055.5,607.1,1.0,15.1,14.0,11.5,12.2,65.0,181.6,691.1,3230.4,660.4,14.0,,
2016-01-02T02:00,11.4,3.1,4.5,-0.3,61.0,118.1,613.7,3076.7,610.4,1.3,19.2,18.5,14.1,11.1,70.8,177.9,696.7,3458.7,697.4,15.5,,
2016-01-02T03:00,11.7,3.8,3.3,-1.7,61.0,105.6,609.1,3088.3,605.5,1.3,23.1,15.6,14.0,9.8,72.5,204.4,712.0,3459.0,725.7,16.5,,
2016-01-02T04:00,10.9,3.2,4.9,-4.2,60.7,114.6,608.7,3051.8,607.6,2.1,20.8,20.8,20.7,13.2,71.2,236.9,746.2,3722.1,727.9,17.5,,
2016-01-02T05:00,10.5,4.7,7.1,1.8,61.4,118.2,616.3,3034.2,618.2,2.7,25.4,26.7,24.1,23.5,72.5,224.9,760.6,3666.1,745.7,19.5,,
2016-01-02T06:00,12.7,8.1,9.2,3.5,62.6,121.7,623.3,3119.0,618.4,3.4,24.9,26.2,23.8,28.3,78.8,277.7,742.1,3773.7,793.9,21.0,,
2016-01-02T07:00,13.5,9.9,13.8,12.8,63.4,137.4,628.5,3180.6,629.2,6.2,30.7,30.6,32.0,33.6,78.4,290.1,781.2,3980.1,761.3,23.5,,
2016-01-02T08:00,14.1,11.7,17.0,15.5,64.1,144.5,636.6,3217.4,636.2,7.2,33.2,36.5,34.6,39.9,82.1,297.8,833.4,4066.5,815.8,25.0,,
