timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-01-01T00:00,11.7,1.3,7.6,-1.7,61.7,115.3,617.8,3076.9,618.4,0.4,13.1,7.9,10.4,5.7,62.1,124.1,629.2,3132.6,636.5,12.5,,15
2016-01-01T01:00,10.5,1.4,6.3,-2.9,60.7,105.3,606.8,3041.2,607.6,0.7,14.5,10.9,13.0,7.9,65.5,142.1,646.0,3215.4,646.6,14.0,,
2016-01-01T02:00,10.8,2.3,5.1,-3.4,60.6,106.5,607.2,3025.5,606.9,1.0,16.5,14.4,13.4,8.8,66.8,161.5,677.7,3331.5,662.1,15.5,,
2016-01-01T03:00,10.8,1.7,2.6,-5.2,60.8,108.4,608.2,3038.0,607.0,1.3,19.2,16.2,13.4,9.4,68.8,182.1,695.1,3410.9,688.5,16.5,,
2016-01-01T04:00,10.5,1.7,3.7,-4.2,60.9,107.9,608.6,3042.1,607.3,1.3,21.5,17.8,15.9,13.0,71.5,209.2,715.3,3588.7,717.7,17.5,,
2016-01-01T05:00,10.9,3.8,6.2,0.0,60.9,108.8,606.3,3041.6,606.8,2.3,23.0,22.9,20.7,17.5,73.6,235.5,729.9,3608.8,734.2,19.5,,
2016-01-01T06:00,11.6,5.8,9.3,4.3,61.8,115.6,616.0,3078.3,616.9,3.0,24.2,26.2,23.7,23.5,75.6,255.9,750.8,3748.7,743.2,21.0,,
2016-01-01T07:00,12.9,9.7,14.3,11.6,62.9,125.9,626.4,3128.8,629.2,4.8,27.3,30.0,29.6,31.9,76.0,272.2,777.3,3887.5,765.6,23.5,,
2016-01-01T08:00,13.8,12.1,16.0,14.5,63.8,136.4,637.3,3192.1,635.4,6.0,29.6,34.1,32.3,36.8,79.3,284.4,794.2,3930.6,784.7,25.0,,
2016-01-01T09:00,13.6,14.7,18.3,20.2,63.6,136.8,637.3,3188.6,638.4,7.5,26.5,34.7,33.0,39.5,77.4,277.5,765.4,3833.3,765.3,25.5,,
2016-01-01T10:00,14.9,17.2,19.0,22.4,64.6,147.7,646.7,3229.0,645.8,8.4,25.6,33.5,30.6,39.5,74.9,245.1,742.4,3752.0,755.7,25.0,,
2016-01-01T11:00,14.8,14.7,17.7,19.4,64.8,145.6,647.3,3242.1,647.8,7.3,23.0,29.9,28.8,33.0,72.5,229.1,733.1,3614.5,722.4,23.0,,
