timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-01-01T00:00,16.1,11.5,16.8,10.3,65.9,156.9,663.9,3288.8,660.2,5.7,29.5,23.4,31.0,24.5,79.7,304.2,808.6,3988.0,810.0,12.5,,200
2016-01-01T01:00,15.4,10.4,13.9,10.3,65.0,153.4,650.9,3238.2,653.2,5.1,32.1,26.8,29.1,28.2,83.7,307.4,813.1,4122.8,806.3,14.0,,
2016-01-01T02:00,15.3,12.5,12.8,9.9,65.4,154.1,646.2,3259.2,648.0,6.3,32.5,31.1,33.2,27.3,83.1,351.0,825.9,4244.5,838.6,15.5,,
2016-01-01T03:00,15.0,11.6,10.6,6.9,65.0,147.0,650.6,3248.7,648.8,6.1,37.2,33.9,33.1,29.2,86.8,373.5,867.7,4345.4,867.4,16.5,,
2016-01-01T04:00,14.8,11.2,11.7,8.3,65.3,154.1,653.7,3271.9,652.1,6.3,36.3,35.5,33.6,31.5,86.9,384.3,863.6,4456.2,896.0,17.5,,
2016-01-01T05:00,15.4,14.9,13.2,11.9,64.8,151.8,651.8,3227.6,654.1,7.2,39.9,38.3,38.7,39.0,90.0,405.2,916.3,4490.5,895.4,19.5,,
2016-01-01T06:00,16.0,15.6,17.2,18.0,66.4,163.4,658.8,3319.8,657.9,8.0,40.9,42.9,43.8,44.8,90.9,414.1,912.4,4623.2,920.4,21.0,,
2016-01-01T07:00,17.4,19.3,22.4,23.7,67.1,173.8,666.4,3343.9,665.5,10.3,44.0,45.4,50.7,51.6,93.0,438.9,942.6,4738.5,954.1,23.5,,
2016-01-01T08:00,18.3,22.4,24.7,28.2,67.7,183.5,681.3,3416.6,679.7,10.6,46.9,50.4,51.3,57.2,95.6,475.6,956.8,4717.2,951.3,25.0,,
2016-01-01T09:00,17.9,25.1,26.7,33.9,67.7,176.0,676.1,3402.8,682.2,13.0,45.7,50.2,53.7,60.0,93.4,432.5,939.4,4746.6,939.8,25.5,,
2016-01-01T10:00,18.7,26.4,26.4,34.5,69.2,189.7,691.9,3470.8,688.1,13.1,40.3,48.9,51.9,59.1,90.6,416.2,936.7,4625.2,905.2,25.0,,
2016-01-01T11:00,18.7,25.2,26.8,30.8,68.6,193.7,694.2,3450.4,690.1,12.0,41.4,45.5,46.0,52.1,89.5,412.6,882.3,4531.5,915.6,23.0,,
2016-01-01T12:00,20.6,26.4,27.2,31.4,71.4,212.5,714.0,3544.2,710.5,13.2,35.7,39.6,39.9,45.3,86.4,359.5,857.7,4186.1,834.3,20.0,,
2016-01-01T13:00,22.0,27.0,28.7,34.0,71.9,220.4,716.9,3593.8,722.5,14.2,29.9,37.4,35.3,41.0,80.6,286.5,800.3,3948.2,806.3,18.0,,
2016-01-01T14:00,21.8,29.6,26.3,33.0,72.3,222.4,715.8,3617.0,723.6,14.6,24.6,30.7,29.9,37.7,74.1,266.7,736.8,3747.5,750.4,16.0,,
2016-01-01T15:00,22.9,31.9,26.2,36.3,72.8,228.0,727.4,3645.4,726.1,15.9,20.6,27.1,22.9,32.0,71.4,216.4,714.6,3422.0,702.5,14.0,,
2016-01-01T16:00,23.7,33.0,26.5,35.0,74.4,240.9,740.3,3690.7,741.5,16.1,15.9,22.5,16.9,27.4,64.8,151.2,667.2,3339.6,649.5,11.5,,
2016-01-01T17:00,22.6,28.3,25.8,31.7,73.4,229.9,733.3,3654.4,730.4,14.8,10.5,16.6,12.4,17.0,58.3,105.4,606.0,2962.3,601.5,8.0,,
2016-01-01T18:00,22.1,28.6,23.7,30.6,72.2,223.7,720.3,3581.2,720.7,14.5,14.9,22.8,17.3,22.6,66.7,146.5,655.4,3207.3,658.4,11.0,,
