timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-01-01T00:00,15.86,11.16,15.98,10.89,65.88,158.69,661.12,3298.91,661.4,5.43,30.19,25.25,29.85,24.78,80.25,300.98,802.51,4008.6,800.17,12.51,,126
2016-01-01T01:00,15.09,10.72,14.2,9.97,65.03,148.59,650.67,3248.53,649.66,5.61,32.28,27.88,30.5,27.14,82.3,324.41,822.83,4124.63,820.57,13.94,,
2016-01-01T02:00,15.06,11.7,13.27,10.01,65.0,149.55,648.79,3252.79,649.88,5.86,33.83,30.68,32.33,28.5,83.56,339.19,836.47,4215.53,837.66,15.62,,
2016-01-01T03:00,15.0,11.78,11.23,7.68,64.96,151.43,648.64,3255.19,649.76,6.06,36.37,33.47,32.21,29.11,85.98,361.15,856.79,4279.53,858.0,16.65,,
2016-01-01T04:00,14.97,12.27,11.92,8.66,64.98,150.42,648.69,3246.85,651.18,6.07,38.31,34.63,35.47,32.19,88.22,382.5,879.51,4378.8,875.24,17.74,,
2016-01-01T05:00,14.92,13.73,14.01,12.95,65.12,149.01,648.87,3243.46,648.71,7.06,40.43,38.84,38.69,37.89,90.01,403.91,899.8,4501.03,904.12,19.42,,
2016-01-01T06:00,16.04,16.34,16.87,16.56,65.94,160.25,658.65,3296.39,660.12,8.09,42.15,42.15,43.05,43.27,92.2,420.95,921.25,4604.04,920.17,20.96,,
2016-01-01T07:00,17.14,20.1,21.89,24.88,66.95,171.17,669.23,3350.71,671.4,9.89,44.45,46.89,49.08,52.1,93.89,443.76,939.03,4714.1,944.41,23.65,,
2016-01-01T08:00,17.95,21.67,23.98,27.82,67.92,179.14,680.38,3403.0,679.41,11.12,45.73,50.09,52.15,56.4,96.4,458.28,961.92,4806.47,961.09,24.95,,
2016-01-01T09:00,17.93,25.18,26.07,32.76,67.92,180.76,678.93,3401.81,679.68,12.47,44.45,51.05,52.46,59.02,94.05,441.2,940.45,4697.26,938.66,25.32,,
2016-01-01T10:00,18.94,26.68,27.06,35.08,68.86,189.17,690.96,3446.11,690.78,13.66,41.59,50.19,49.63,57.95,91.75,417.19,925.0,4579.41,922.35,24.98,,
2016-01-01T11:00,19.12,25.18,26.07,31.73,68.96,190.52,688.84,3445.39,689.54,12.48,40.42,46.01,47.21,52.63,90.28,403.65,897.7,4518.38,895.35,22.96,,
2016-01-01T12:00,21.08,25.8,27.01,31.85,70.89,209.04,709.6,3551.28,711.3,13.16,35.5,40.03,41.56,45.45,85.41,346.91,851.32,4238.45,847.93,20.19,,
2016-01-01T13:00,22.03,28.17,28.06,33.89,71.91,219.08,719.35,3596.88,720.14,13.87,30.16,36.38,35.44,42.57,79.64,304.49,804.54,3974.45,795.57,18.15,,
2016-01-01T14:00,22.03,29.11,26.91,33.84,71.89,219.48,718.71,3599.15,720.44,14.48,24.64,32.36,30.16,36.86,75.47,253.04,753.29,3772.91,753.21,16.0,,
2016-01-01T15:00,23.0,31.03,27.04,35.1,72.98,230.84,731.34,3646.67,730.81,15.36,20.26,27.71,24.32,32.33,69.84,197.01,702.67,3498.49,703.55,13.95,,
2016-01-01T16:00,23.91,31.75,27.09,34.95,74.0,239.78,739.63,3701.89,738.94,16.05,15.13,22.56,18.22,25.62,64.92,152.85,647.16,3267.56,651.53,11.37,,
2016-01-01T17:00,23.14,28.83,25.12,31.15,73.08,230.28,730.85,3643.56,731.18,14.61,10.46,15.77,11.82,18.28,60.32,101.04,597.49,3009.17,599.21,8.12,,
2016-01-01T18:00,22.1,28.7,24.13,31.33,71.96,220.45,719.96,3597.24,718.61,14.34,15.08,22.35,17.4,24.35,64.63,146.72,651.81,3241.97,652.05,10.86,,
2016-01-01T19:00,20.89,26.08,21.96,27.25,71.11,211.33,710.83,3556.05,709.62,13.01,20.14,25.32,21.18,26.53,69.65,197.91,702.02,3519.03,703.27,12.49,,
2016-01-01T20:00,18.94,21.79,19.86,22.92,68.97,189.32,690.66,3449.42,689.86,11.09,25.5,28.26,25.9,28.75,74.54,245.26,745.91,3759.03,755.17,13.88,,
2016-01-01T21:00,18.87,20.8,19.15,20.92,68.87,190.94,691.11,3447.34,690.87,10.67,30.12,32.1,29.54,31.62,80.3,301.12,798.14,4005.95,795.85,15.86,,
2016-01-01T22:00,18.0,19.86,17.96,19.67,67.95,180.63,680.23,3401.43,681.32,9.85,40.24,42.4,40.03,42.43,90.07,396.91,902.62,4512.55,897.22,21.21,,
2016-01-01T23:00,17.01,16.19,17.11,15.58,66.98,168.98,670.23,3344.5,669.64,7.86,44.53,44.18,45.32,43.83,94.65,446.01,954.68,4759.92,951.48,22.02,,
2016-01-02T00:00,15.87,10.91,15.88,11.03,65.91,160.9,659.46,3303.97,660.57,5.38,29.82,25.0,29.74,24.88,80.07,302.8,801.05,4015.24,800.48,12.61,,
2016-01-02T01:00,15.12,11.23,13.95,10.05,64.97,148.74,651.33,3248.38,650.55,5.56,31.91,28.39,31.2,27.17,81.93,321.67,823.58,4098.67,824.28,14.05,,
2016-01-02T02:00,14.91,12.01,12.81,10.33,64.97,150.56,650.96,3256.23,648.73,6.05,34.03,31.3,32.53,29.52,84.22,340.5,839.43,4189.1,838.72,15.58,,
2016-01-02T03:00,14.94,11.77,10.74,8.48,64.98,149.24,650.86,3244.75,649.5,5.96,35.76,33.32,31.61,29.11,85.84,355.35,860.16,4320.94,864.72,16.66,,
2016-01-02T04:00,14.88,11.79,12.26,9.3,65.04,149.08,649.41,3243.4,648.74,5.94,37.83,34.54,35.12,31.65,87.87,376.62,877.08,4424.08,884.99,17.66,,
2016-01-02T05:00,14.86,13.84,13.92,13.28,64.94,149.88,651.21,3247.41,649.0,7.07,39.93,38.74,38.58,38.18,90.33,395.37,903.31,4496.98,898.9,19.52,,
2016-01-02T06:00,16.08,16.16,17.18,17.08,65.86,158.62,658.85,3293.72,659.65,7.94,42.46,41.73,43.52,43.0,91.84,422.3,923.73,4604.06,917.09,21.03,,
2016-01-02T07:00,17.07,20.19,21.78,24.81,66.95,169.09,671.21,3350.32,669.15,9.95,43.95,47.14,48.93,52.44,94.36,444.49,936.63,4690.89,939.07,23.66,,
2016-01-02T08:00,18.03,21.76,23.95,28.44,67.88,179.82,678.87,3404.81,679.34,10.84,45.76,50.23,51.57,56.5,95.9,461.43,962.64,4804.65,956.15,25.05,,
2016-01-02T09:00,17.88,25.04,26.16,32.74,67.92,179.23,681.13,3406.55,678.84,12.4,44.1,50.81,51.76,58.77,94.51,444.87,940.72,4677.38,944.61,25.58,,
2016-01-02T10:00,19.07,26.74,27.19,35.48,69.1,190.57,690.61,3455.18,689.8,13.6,42.24,50.23,49.5,58.06,92.21,420.89,917.46,4574.78,924.55,25.09,,
2016-01-02T11:00,18.89,24.95,26.11,31.73,68.99,188.79,689.34,3448.4,690.11,12.39,39.66,45.61,46.81,52.64,89.58,403.07,898.3,4501.72,895.05,23.04,,
2016-01-02T12:00,21.12,25.84,26.82,31.53,70.92,210.06,709.78,3551.08,710.05,12.99,34.93,39.89,40.83,46.11,85.46,344.9,848.84,4247.44,845.37,19.8,,
2016-01-02T13:00,22.11,28.2,28.1,33.81,72.09,218.83,718.62,3606.38,719.45,14.08,30.27,36.23,36.1,41.75,80.44,304.19,801.65,4022.98,803.84,18.07,,
2016-01-02T14:00,21.96,28.79,26.94,33.58,71.96,220.2,720.72,3600.06,721.11,14.35,25.12,31.63,30.2,37.05,74.66,252.9,751.82,3734.69,753.72,15.86,,
2016-01-02T15:00,22.92,30.73,26.93,35.2,73.02,229.73,729.8,3648.04,730.03,15.46,19.5,28.23,24.0,32.4,69.95,202.64,699.6,3475.39,703.98,13.97,,
