timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2016-01-01T00:00,16.38,11.69,16.38,10.84,66.12,156.04,658.36,3295.2,661.56,5.8,31.11,25.6,31.06,24.6,81.46,315.25,808.59,4005.08,797.09,11.94,,30,,,,
2016-01-01T01:00,14.9,11.84,14.16,9.87,65.14,148.2,653.17,3255.08,651.47,5.23,31.37,28.03,30.23,27.94,83.07,332.89,820.19,4131.79,806.68,13.33,,,,,,
2016-01-01T02:00,15.32,12.14,13.54,8.93,64.65,145.72,649.6,3251.7,653.48,6.36,33.87,30.99,31.54,28.48,83.94,340.79,846.94,4216.94,832.94,15.74,,,,,,
2016-01-01T03:00,15.24,11.65,10.33,6.63,65.05,151.75,648.8,3242.55,652.14,6.4,36.79,34.17,32.18,28.63,86.57,369.92,863.2,4311.8,873.51,16.98,,,,,,
2016-01-01T04:00,15.37,12.94,12.24,8.34,64.64,149.66,651.96,3267.88,645.98,6.38,36.82,35.25,35.92,33.73,87.77,373.28,885.51,4448.14,889.18,16.88,,,,,,
2016-01-01T05:00,14.89,14.67,14.49,11.84,65.36,147.92,649.07,3270.78,647.88,7.16,39.3,40.09,39.96,36.98,89.99,386.24,912.73,4503.03,907.0,18.92,,,,,,
2016-01-01T06:00,16.28,16.4,16.29,16.76,66.16,160.69,663.37,3285.52,656.1,7.73,43.38,43.27,41.39,43.61,93.36,423.81,919.68,4576.35,928.68,21.7,,,,,,
2016-01-01T07:00,17.34,20.11,22.61,26.18,67.09,166.09,672.86,3359.78,674.05,10.33,45.34,47.92,48.25,53.05,94.45,435.7,950.72,4625.12,949.11,22.92,,,,,,
2016-01-01T08:00,17.9,21.9,23.29,27.33,67.87,178.53,676.46,3420.81,683.62,10.73,46.7,48.79,51.3,54.98,94.85,457.05,956.78,4774.48,968.1,25.45,,,,,,
2016-01-01T09:00,17.58,24.02,26.6,34.33,68.03,183.06,678.9,3400.19,680.06,12.95,43.77,49.87,53.67,58.73,95.44,437.69,952.89,4660.08,926.33,25.47,,,,,,
2016-01-01T10:00,18.71,27.12,27.28,34.43,69.23,188.0,689.0,3447.67,688.9,13.7,41.83,50.65,48.84,56.35,91.29,427.99,914.15,4595.74,935.29,24.93,,,,,,
